MissingMigrants-Global-2024-01-26--01_47_22
Main ID,Year,Total Number of Dead and Missing,Cause of Death,Country of Origin,Location of death,Coordinates,Migration route
2023.MMP0002,2023,1,Vehicle accident / death linked to hazardous transport,Unknown,"Egnatia Highway between Alexandroupolis and Komotini, Greece","40.95496299, 25.65250242",
2023.MMP0001,2023,1,Drowning,Haiti,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard","37.69253013, 26.99162098",Eastern Mediterranean
2023.MMP0001,2023,1,Drowning,Democratic Republic of the Congo,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard","37.69253013, 26.99162098",Eastern Mediterranean
2023.MMP0001,2023,1,Drowning,Mali,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard","37.69253013, 26.99162098",Eastern Mediterranean
2023.MMP0001,2023,2,Drowning,Unknown,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard","37.69253013, 26.99162098",Eastern Mediterranean
2023.MMP0022,2023,1,Sickness / lack of access to adequate healthcare,Cuba,"Fort Duncan Regional Medical Center, 3333 North Foster Maldonado Boulevard, Eagle Pass, Maverick County, Texas, 78852, United States of America","28.714334, -100.455678",US-Mexico border crossing
2023.MMP0007,2023,1,Accidental death,Gambia,"Off Garabulli (Castelverde), Libya - embarkation from Garabulli on 1 Jan 21:00 and disembarkation at Tripoli port","32.84183165, 13.691316",Central Mediterranean
2023.MMP0027,2023,2,Drowning,Cuba,"International Waters, 72 Miles from Jamainitas Beach, Havana, Cuba","24.429539, -82.211683",Caribbean to US
2023.MMP0762,2023,1,Sickness / lack of access to adequate healthcare,Niger,"Arlit, Niger en route to Algeria","18.75207286, 7.383352",Sahara Desert crossing
2023.MMP0003,2023,1,Drowning,Unknown,"Remains washed ashore near Misfat Al Zawiyah DP, Al Zawiyah, Libya","32.79178513, 12.679369",Central Mediterranean
2023.MMP0730,2023,1,Drowning,Ecuador,"Chucunaque River, close to Migratory Reception Station of Lajas Blancas,Meteti, Darien National Park, Panama","8.405480099, -77.818495",
2023.MMP0028,2023,25,Drowning,Cuba,"Martí Coastal Zone, Matanzas, Cuba","23.046759, -80.925969",Caribbean to US
2023.MMP0066,2023,1,Drowning,Unknown,"Remains washed ashore at Playa El Burro, La Oliva, Fuerteventura, Canary Islands, Spain","28.68777839, -13.831747",Western Africa / Atlantic route to the Canary Islands
2023.MMP0005,2023,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Haiti,"East of Roxham Road, 271 rang, Chem. Roxham, Saint-Bernard-de-Lacolle, QC J0J 1V0, Canadá","45.0324623, -73.518841",
2023.MMP0066,2023,1,Drowning,Unknown,"Remains washed ashore at El Matorral, between Antigua and Puerto del Rosario, Fuerteventura, Canary Islands, Spain","28.42944826, -13.860643",Western Africa / Atlantic route to the Canary Islands
2023.MMP1201,2023,2,Violence,Ethiopia,Unspecified location by the Yemeni border in Saudi Arabia - Yemen to Gulf crossing,"18.28006466, 48.353326",Eastern Route to/from EHOA
2023.MMP0004,2023,1,Sickness / lack of access to adequate healthcare,Afghanistan,"Died in Nis clinical centre, Serbia after arriving in RC Presevo with respiratory illness presumably contracted during/exacerbated by journey","43.31568829, 21.91337329",Western Balkans
2023.MMP0017,2023,1,Drowning,Unknown,"Rio Bravo in Claudette Colony, Nuevo Laredo, Tamaulipas, Mexico","27.52455119, -99.525565",US-Mexico border crossing
2023.MMP0489,2023,1,Sickness / lack of access to adequate healthcare,Sudan,"Al-Jawf, AlKufra, Libya","24.22092653, 23.291791",Sahara Desert crossing
2023.MMP0006,2023,15,Drowning,Unknown,"Off the coast of La Laouata, Sfax, Tunisia","35.04940045, 11.060647",Central Mediterranean
2023.MMP0008,2023,1,Drowning,Cameroon,"38 miles off the island of Lampedusa, Italy","35.20457948, 12.034621",Central Mediterranean
2023.MMP0008,2023,2,Drowning,Côte d'Ivoire,"38 miles off the island of Lampedusa, Italy","35.20457948, 12.034621",Central Mediterranean
2023.MMP0732,2023,1,Sickness / lack of access to adequate healthcare,Haiti,"Close to La Peñita, El Salto, Darien National Park, Panama","8.360761539, -77.791464",
2023.MMP0068,2023,2,"Harsh environmental conditions / lack of adequate shelter, food, water",Dominican Republic,"El Dorado International Airport, Bogotá, Colombia","4.694080737, -74.13429",
2023.MMP0645,2023,1,Violence,Ethiopia,"Lascanood, Somalia","8.4719972, 47.354997",Eastern Route to/from EHOA
2023.MMP0009,2023,2,Violence,Unknown,"At a police checkpoint on Van-Özalp highway, Van, Türkiye","38.65706324, 43.9772",Iran to Türkiye
2023.MMP0019,2023,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Yemen,"Unspecified location in Białowieża Forest, Poland","52.68455073, 23.79601",Belarus-EU border
2023.MMP0490,2023,1,Violence,Egypt,"Qondofah, Benghazi, Libya","32.029039, 20.016156",Sahara Desert crossing
2023.MMP0114,2023,1,Vehicle accident / death linked to hazardous transport,Mexico,"One mile north of the intersection of Airport Road and Pete Domenici Highway, Santa Teresa, Doña Ana County, New Mexico, United States of America","31.86396935, -106.68413",US-Mexico border crossing
2023.MMP0747,2023,2,Violence,Unknown,"In Guezzam, Algeria","19.62902817, 5.749967",Sahara Desert crossing
2023.MMP0761,2023,1,Sickness / lack of access to adequate healthcare,Unknown,"Tamanrasset, Algeria","22.10740974, 5.597983",Sahara Desert crossing
2023.MMP0855,2023,1,Mixed or unknown,Ethiopia,"Hol-Hol, Djibouti","11.3078767, 42.929532",Eastern Route to/from EHOA
2023.MMP0114,2023,1,Vehicle accident / death linked to hazardous transport,El Salvador,"One mile north of the intersection of Airport Road and Pete Domenici Highway, Santa Teresa, Doña Ana County, New Mexico, United States of America","31.86396935, -106.68413",US-Mexico border crossing
2023.MMP0218,2023,1,Mixed or unknown,Unknown,"Pima County Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)","32.00007, -111.3269",US-Mexico border crossing
2023.MMP0012,2023,1,Accidental death,Unknown,"On the roof of a TER passenger train in Menton Garavan station, Menton, France","43.78517187, 7.517308",Italy to France
